#TYPE Selected.System.ServiceProcess.ServiceController
"RmSvc","Stopped"
"RetailDemo","Stopped"
"RpcLocator","Stopped"
"SCPolicySvc","Stopped"
"ScDeviceEnum","Stopped"
"RemoteRegistry","Stopped"
"PrintNotify","Stopped"
"PNRPsvc","Stopped"
"RasAuto","Stopped"
"RemoteAccess","Stopped"
"RasMan","Stopped"
"SDRSVC","Stopped"
"SmsRouter","Stopped"
"smphost","Stopped"
"smstsmgr","Stopped"
"spectrum","Stopped"
"SNMPTRAP","Stopped"
"shpamsvc","Stopped"
"Sense","Stopped"
"SEMgrSvc","Stopped"
"SensorDataService","Stopped"
"SharedAccess","Stopped"
"SensrSvc","Stopped"
"NaturalAuthentication","Stopped"
"MyWiFiDHCPDNS","Stopped"
"NcaSvc","Stopped"
"NetSetupSvc","Stopped"
"NcdAutoSetup","Stopped"
"msiserver","Stopped"
"MessagingService_6c65554d","Stopped"
"MapsBroker","Stopped"
"MozillaMaintenance","Stopped"
"MSiSCSI","Stopped"
"MSDTC","Stopped"
"NetTcpPortSharing","Stopped"
"PerfHost","Stopped"
"PeerDistSvc","Stopped"
"PhoneSvc","Stopped"
"PNRPAutoReg","Stopped"
"pla","Stopped"
"p2psvc","Stopped"
"OpenVPNService","Stopped"
"NgcSvc","Stopped"
"OpenVPNServiceLegacy","Stopped"
"p2pimsvc","Stopped"
"ose","Stopped"
